As of 6am,"The Village at Palisades Tahoe
6200' 24 hour","The Village at Palisades Tahoe
6200' Cumulative","Alpine Lodge 6835'
24 hour","Alpine Lodge 6835'
Cumulative","Palisades Tahoe 8000'
24 hour","Palisades Tahoe 8000'
Cumulative"
"Friday, April 22",15,193,23,286,28,394
"Thursday, April 21",5,178,6,263,8,366
"Wednesday, April 20",0,173,4,257,6,358
"Tuesday, April 19",0,173,0,253,1,352
"Sunday, April 17",1,173,5,253,12,351
"Saturday, April 16",0,172,0,248,3,339
"Friday, April 15",9,172,13,248,15,336
"Thursday, April 14",0,163,0,235,4,321
"Tuesday, April 12",4,163,6,235,8,317
"Monday, April 11",0,159,0,229,1,309
"Tuesday, March 29",0,159,0,229,1,308
"Sunday, March 20",0,159,4,229,5,307
"Wednesday, March 16",1,159,2,225,2,302
"Thursday, March 10",1,158,7,223,1,299
"Saturday, March 5",5,157,6,222,9,298
"Wednesday, February 23",2,152,2,216,5,289
"Tuesday, February 22",6,150,9,214,12,284
"Tuesday, February 15",1,144,1,207,2,272
"Saturday, January 8",1,143,2,206,2,270
"Wednesday, January 5",0,142,0,204,1,268
"Tuesday, January 4",0,142,0,204,2,267
"Saturday, January 1",0,142,0,204,1,265
"Friday, December 31",0,142,0,204,1,264
"Thursday, December 30",2,142,3,204,7,263
"Wednesday, December 29",3,140,3,201,4,256
"Tuesday, December 28",6,137,7,198,9,252
"Monday, December 27",20,131,22,191,30,243
"Sunday, December 26",18,111,23,169,26,213
"Saturday, December 25",7,93,11,146,11,187
"Friday, December 24",18,86,21,135,26,176
"Thursday, December 23",0,68,2,114,10,150
"Wednesday, December 22",0,68,1,112,1,140
"Friday, December 17",2,68,3,111,3,139
"Thursday, December 16",8,66,13,108,14,136
"Wednesday, December 15",4,56,10,95,9,122
"Tuesday, December 14",20,52,29,85,29,113
"Monday, December 13",9,32,18,56,21,84
"Sunday, December 12",1,23,1,38,2,63
"Friday, December 10",0,22,0,37,3,61
"Thursday, December 9",4,22,4,37,5,58
"Tuesday, November 9",0,18,0,33,7,53
"Saturday, November 6",0,18,0,33,1,46
"Tuesday, October 26",5,18,5,28,12,45
"Monday, October 25",8,13,23,23,27,33
"Monday, October 18",4,5,4,5,4,6
"Saturday, October 9",1,1,1,1,1,2
"Friday, October 8",0,0,0,0,1,1